idno,cntry,gndr,agea,c2weight,w4q47,w4q48,w4q49,w4q50,w4q51,w4q52,w4q53,w4q54,w4q55,w4q56,w4q57,w4q58,w4q59,w4q60,gndr_lab,age_band,cntry_iso2,positive_affect_mean,distress_mean,positive_affect_z,distress_z
10167,AT,1,73,2.3594236,1,1,2,3,1,3,1,1,1,1,2,1,1,1,Male,65+,AT,3,1.1666666666666667,0.44262012353696373,-0.9871607886573683
10190,AT,2,41,0.64719534,2,4,3,2,1,2,1,2,3,2,4,2,3,1,Female,30–44,AT,2,2.3333333333333335,-0.9329248789936372,1.0837100227419514
10202,AT,1,35,0.43431893,1,2,1,3,2,3,1,1,1,1,2,1,2,1,Male,30–44,AT,3,1.3333333333333333,0.44262012353696373,-0.6913221013146087
10237,AT,1,55,3.221599,2,1,2,3,1,4,1,1,2,2,2,1,2,1,Male,45–64,AT,3.5,1.5,1.1303926248022642,-0.3954834139718486
10238,AT,2,65,3.5392592,1,2,2,3,1,3,1,1,2,2,2,1,2,1,Female,65+,AT,3,1.5,0.44262012353696373,-0.3954834139718486
10296,AT,2,27,0.4109379,3,3,2,2,4,2,3,4,3,3,4,3,3,1,Female,18–29,AT,2,3,-0.9329248789936372,2.267064772112991
10368,AT,2,35,0.15726998,2,2,1,2,1,2,2,2,2,2,3,2,2,2,Female,30–44,AT,2,1.9166666666666667,-0.9329248789936372,0.34411330438505133
10370,AT,2,20,1.3033638,3,4,4,2,2,3,2,1,3,2,3,1,1,1,Female,18–29,AT,2.5,2.25,-0.2451523777283367,0.9357906790705711
10443,AT,1,68,0.3790756,1,1,2,3,4,2,,4,1,1,1,1,1,1,Male,65+,AT,2.5,1.6363636363636362,-0.2451523777283367,-0.15343357887322706
10455,AT,1,51,0.36314145,1,2,2,3,1,3,1,3,1,1,1,1,2,1,Male,45–64,AT,3,1.4166666666666667,0.44262012353696373,-0.5434027576432284
10581,AT,1,66,1.7129452,2,2,2,2,1,3,1,3,1,1,2,1,2,1,Male,65+,AT,2.5,1.5833333333333333,-0.2451523777283367,-0.24756407030046876
10584,AT,2,56,0.9650992,1,2,1,4,1,4,2,1,1,1,2,1,2,1,Female,45–64,AT,4,1.3333333333333333,1.8181651260675646,-0.6913221013146087
10654,AT,2,51,0.6949101,1,2,2,2,3,1,3,2,1,2,2,1,2,2,Female,45–64,AT,1.5,1.9166666666666667,-1.6206973802589375,0.34411330438505133
10736,AT,1,67,0.50983644,1,2,2,4,1,4,2,1,1,2,3,2,2,1,Male,65+,AT,4,1.6666666666666667,1.8181651260675646,-0.09964472662908853
10754,AT,1,48,0.8262225,3,3,1,2,2,1,2,3,3,3,2,2,3,2,Male,45–64,AT,1.5,2.4166666666666665,-1.6206973802589375,1.2316293664133307
10833,AT,2,39,0.72975636,2,3,1,3,1,4,1,1,2,2,3,1,4,1,Female,30–44,AT,3.5,1.8333333333333333,1.1303926248022642,0.19619396071367112
10865,AT,1,54,1.7498367,2,2,2,2,1,3,2,2,2,2,2,2,3,2,Male,45–64,AT,2.5,2,-0.2451523777283367,0.4920326480564312
11244,AT,2,47,0.31095678,2,3,1,3,3,2,1,2,2,3,2,2,3,1,Female,45–64,AT,2.5,2.0833333333333335,-0.2451523777283367,0.6399519917278114
11317,AT,2,45,0.71037346,3,3,3,2,3,1,3,3,3,3,4,2,3,2,Female,45–64,AT,1.5,2.9166666666666665,-1.6206973802589375,2.1191454284416107
11319,AT,1,81,1.0807527,2,1,2,3,2,2,1,1,2,2,2,1,2,1,Male,65+,AT,2.5,1.5833333333333333,-0.2451523777283367,-0.24756407030046876
11362,AT,1,27,1.0810356,4,3,3,3,3,3,3,3,3,3,3,,3,3,Male,18–29,AT,3,3.090909090909091,0.44262012353696373,2.428431328845405
11433,AT,2,41,0.32729596,3,3,1,3,1,3,2,1,2,2,3,1,2,1,Female,30–44,AT,3,1.8333333333333333,0.44262012353696373,0.19619396071367112
11634,AT,1,53,1.7206339,1,1,2,3,1,3,1,1,1,2,1,1,2,1,Male,45–64,AT,3,1.25,0.44262012353696373,-0.8392414449859885
11649,AT,2,28,0.44499606,4,4,3,2,2,2,4,3,4,4,4,3,4,2,Female,18–29,AT,2,3.4166666666666665,-0.9329248789936372,3.0066614904698903
11682,AT,2,58,0.9117254,2,2,4,2,2,2,3,2,4,4,3,4,2,2,Female,45–64,AT,2,2.8333333333333335,-0.9329248789936372,1.9712260847702312
11904,AT,1,19,2.3210714,2,2,1,2,1,2,3,3,2,1,3,1,2,1,Male,18–29,AT,2,1.8333333333333333,-0.9329248789936372,0.19619396071367112
12005,AT,1,44,0.80393106,1,2,1,3,1,3,1,1,1,1,1,1,2,2,Male,30–44,AT,3,1.25,0.44262012353696373,-0.8392414449859885
12030,AT,1,34,3.3445206,3,3,3,1,3,1,3,1,3,3,3,2,3,3,Male,30–44,AT,1,2.75,-2.308469881524238,1.8233067410988508
12077,AT,1,30,1.243293,3,3,3,2,3,2,3,3,3,4,3,1,3,2,Male,30–44,AT,2,2.8333333333333335,-0.9329248789936372,1.9712260847702312
12090,AT,2,47,0.21322554,1,1,1,3,1,3,1,1,2,1,2,1,2,1,Female,45–64,AT,3,1.25,0.44262012353696373,-0.8392414449859885
12133,AT,2,29,0.7799433,2,2,3,2,1,2,1,1,2,2,1,1,1,1,Female,18–29,AT,2,1.5,-0.9329248789936372,-0.3954834139718486
12275,AT,1,40,0.84088844,1,2,1,3,1,3,2,2,1,1,2,2,2,2,Male,30–44,AT,3,1.5833333333333333,0.44262012353696373,-0.24756407030046876
12311,AT,2,31,0.28743848,3,3,3,2,4,2,3,3,4,4,4,2,3,2,Female,30–44,AT,2,3.1666666666666665,-0.9329248789936372,2.5629034594557503
12424,AT,1,56,0.394645,1,2,1,4,1,4,1,1,1,1,2,1,1,1,Male,45–64,AT,4,1.1666666666666667,1.8181651260675646,-0.9871607886573683
12522,AT,2,60,0.49037343,3,3,3,3,1,3,2,2,2,3,4,2,3,2,Female,45–64,AT,3,2.5,0.44262012353696373,1.379548710084711
12557,AT,2,29,0.67640376,3,3,3,2,2,2,2,2,2,2,2,2,2,2,Female,18–29,AT,2,2.25,-0.9329248789936372,0.9357906790705711
12605,AT,2,59,0.30262727,1,1,1,4,1,4,1,2,1,1,1,1,1,1,Female,45–64,AT,4,1.0833333333333333,1.8181651260675646,-1.1350801323287485
12638,AT,2,61,0.3228321,2,2,2,2,3,2,2,2,2,2,2,2,2,2,Female,45–64,AT,2,2.0833333333333335,-0.9329248789936372,0.6399519917278114
12686,AT,1,54,0.9638492,1,2,2,3,1,2,1,1,1,1,2,1,2,1,Male,45–64,AT,2.5,1.3333333333333333,-0.2451523777283367,-0.6913221013146087
12711,AT,1,18,0.6341213,2,3,1,2,1,1,2,1,2,1,2,1,3,1,Male,18–29,AT,1.5,1.6666666666666667,-1.6206973802589375,-0.09964472662908853
12717,AT,1,65,0.35418728,1,1,2,3,1,4,1,1,1,1,2,1,2,1,Male,65+,AT,3.5,1.25,1.1303926248022642,-0.8392414449859885
12720,AT,2,52,0.5316237,1,1,2,3,1,4,1,1,2,1,2,1,3,1,Female,45–64,AT,3.5,1.4166666666666667,1.1303926248022642,-0.5434027576432284
12764,AT,2,55,0.2923319,3,3,4,2,1,1,1,4,3,1,2,1,3,1,Female,45–64,AT,1.5,2.25,-1.6206973802589375,0.9357906790705711
12784,AT,2,29,2.4967275,3,2,2,2,3,3,2,2,2,3,3,2,3,2,Female,18–29,AT,2.5,2.4166666666666665,-0.2451523777283367,1.2316293664133307
12789,AT,2,32,2.4424365,1,1,2,3,1,4,2,2,2,1,2,1,2,1,Female,30–44,AT,3.5,1.5,1.1303926248022642,-0.3954834139718486
12851,AT,1,66,0.70026284,2,1,4,3,1,1,2,2,2,3,3,2,2,1,Male,65+,AT,2,2.0833333333333335,-0.9329248789936372,0.6399519917278114
12863,AT,1,54,2.4837956,1,2,1,3,1,3,1,1,1,1,2,1,2,1,Male,45–64,AT,3,1.25,0.44262012353696373,-0.8392414449859885
12941,AT,2,79,1.9984834,1,2,2,4,1,3,1,1,1,1,2,1,2,1,Female,65+,AT,3.5,1.3333333333333333,1.1303926248022642,-0.6913221013146087
12942,AT,1,71,0.38852662,1,1,1,3,1,3,1,1,1,1,1,1,2,1,Male,65+,AT,3,1.0833333333333333,0.44262012353696373,-1.1350801323287485
12966,AT,1,32,1.7255194,2,3,3,2,2,3,2,,2,2,,2,2,3,Male,30–44,AT,2.5,2.3,-0.2451523777283367,1.0245422852733987
13081,AT,2,18,0.4014929,3,4,3,2,3,2,3,4,4,4,4,3,4,4,Female,18–29,AT,2,3.5833333333333335,-0.9329248789936372,3.3025001778126506
13242,AT,2,43,2.0159955,1,2,1,4,1,4,1,1,2,2,2,1,2,2,Female,30–44,AT,4,1.5,1.8181651260675646,-0.3954834139718486
13266,AT,1,48,2.2968657,1,2,2,3,1,3,1,1,2,1,2,1,2,1,Male,45–64,AT,3,1.4166666666666667,0.44262012353696373,-0.5434027576432284
13289,AT,2,40,1.2646235,1,1,1,2,2,3,2,1,2,2,3,1,3,2,Female,30–44,AT,2.5,1.75,-0.2451523777283367,0.048274617042291294
13319,AT,2,66,0.3005798,2,1,2,3,2,3,2,1,1,1,1,2,2,1,Female,65+,AT,3,1.5,0.44262012353696373,-0.3954834139718486
13346,AT,1,46,0.44554222,1,1,1,4,1,4,1,1,1,1,2,2,1,1,Male,45–64,AT,4,1.1666666666666667,1.8181651260675646,-0.9871607886573683
13348,AT,1,75,0.19776925,2,2,1,3,1,3,1,1,1,1,1,1,1,1,Male,65+,AT,3,1.1666666666666667,0.44262012353696373,-0.9871607886573683
13371,AT,1,21,2.0602229,2,2,1,3,2,3,2,1,2,1,2,1,2,1,Male,18–29,AT,3,1.5833333333333333,0.44262012353696373,-0.24756407030046876
13523,AT,1,53,1.5417075,2,2,3,2,1,2,2,2,2,2,1,1,2,1,Male,45–64,AT,2,1.75,-0.9329248789936372,0.048274617042291294
13638,AT,1,42,0.963135,2,2,2,3,1,2,1,2,2,1,1,1,2,1,Male,30–44,AT,2.5,1.5,-0.2451523777283367,-0.3954834139718486
14027,AT,1,73,0.39839965,2,1,1,3,2,3,2,1,2,1,2,1,2,1,Male,65+,AT,3,1.5,0.44262012353696373,-0.3954834139718486
14039,AT,2,40,0.5734763,2,2,2,3,2,3,2,3,3,2,2,2,2,1,Female,30–44,AT,3,2.0833333333333335,0.44262012353696373,0.6399519917278114
14121,AT,2,39,0.65257585,2,3,3,3,2,3,2,2,2,2,3,2,3,1,Female,30–44,AT,3,2.25,0.44262012353696373,0.9357906790705711
14210,AT,2,54,1.6481332,4,3,3,1,3,1,3,4,3,3,3,3,3,3,Female,45–64,AT,1,3.1666666666666665,-2.308469881524238,2.5629034594557503
14214,AT,1,57,0.38457876,2,2,3,2,2,,2,3,2,2,4,2,3,2,Male,45–64,AT,2,2.4166666666666665,-0.9329248789936372,1.2316293664133307
14438,AT,2,66,0.42247277,1,1,1,4,1,4,1,1,1,1,1,1,1,1,Female,65+,AT,4,1,1.8181651260675646,-1.2829994760001284
14493,AT,1,64,0.9977863,1,2,1,2,3,3,1,2,1,1,1,1,2,1,Male,45–64,AT,2.5,1.4166666666666667,-0.2451523777283367,-0.5434027576432284
14497,AT,1,60,2.9372416,1,2,1,3,1,4,1,1,1,1,1,1,1,1,Male,45–64,AT,3.5,1.0833333333333333,1.1303926248022642,-1.1350801323287485
14581,AT,1,53,0.22121489,3,3,3,2,3,2,2,3,2,4,4,2,4,2,Male,45–64,AT,2,2.9166666666666665,-0.9329248789936372,2.1191454284416107
14793,AT,1,56,0.99123216,4,4,3,1,4,1,4,4,4,2,4,3,2,2,Male,45–64,AT,1,3.3333333333333335,-2.308469881524238,2.858742146798511
14794,AT,1,43,1.3688952,2,2,2,3,1,3,1,2,2,2,2,1,2,1,Male,30–44,AT,3,1.6666666666666667,0.44262012353696373,-0.09964472662908853
14812,AT,1,41,0.74209195,1,2,1,3,1,2,1,1,1,2,3,1,2,1,Male,30–44,AT,2.5,1.4166666666666667,-0.2451523777283367,-0.5434027576432284
14852,AT,1,56,0.4420875,1,2,2,3,2,3,1,1,1,1,2,1,2,1,Male,45–64,AT,3,1.4166666666666667,0.44262012353696373,-0.5434027576432284
14862,AT,1,54,0.32799882,1,1,1,3,1,4,1,2,2,1,2,1,2,2,Male,45–64,AT,3.5,1.4166666666666667,1.1303926248022642,-0.5434027576432284
14940,AT,2,58,1.0780146,1,2,2,3,1,3,1,1,1,2,2,1,2,1,Female,45–64,AT,3,1.4166666666666667,0.44262012353696373,-0.5434027576432284
14960,AT,2,54,0.61601937,1,2,2,2,1,3,1,1,2,3,3,2,2,2,Female,45–64,AT,2.5,1.8333333333333335,-0.2451523777283367,0.1961939607136715
14998,AT,2,24,0.14523241,1,2,1,2,2,2,2,2,3,2,3,1,1,1,Female,18–29,AT,2,1.75,-0.9329248789936372,0.048274617042291294
15067,AT,2,55,0.78058356,2,2,1,4,1,4,1,3,1,3,3,4,1,1,Female,45–64,AT,4,1.9166666666666665,1.8181651260675646,0.34411330438505094
15068,AT,1,53,0.3724081,2,1,1,3,2,2,2,1,1,2,3,2,2,1,Male,45–64,AT,2.5,1.6666666666666667,-0.2451523777283367,-0.09964472662908853
15098,AT,2,35,0.6595825,2,1,2,2,1,2,2,2,2,2,2,1,3,1,Female,30–44,AT,2,1.75,-0.9329248789936372,0.048274617042291294
15125,AT,2,25,0.97339976,1,2,3,3,2,3,2,1,2,2,4,2,3,1,Female,18–29,AT,3,2.0833333333333335,0.44262012353696373,0.6399519917278114
15133,AT,1,74,0.6839772,3,4,3,2,3,2,2,3,3,3,3,2,3,2,Male,65+,AT,2,2.8333333333333335,-0.9329248789936372,1.9712260847702312
15289,AT,1,58,1.7209746,1,1,1,4,1,3,1,2,1,2,2,1,2,1,Male,45–64,AT,3.5,1.3333333333333333,1.1303926248022642,-0.6913221013146087
15355,AT,1,62,1.0312166,2,1,2,4,1,4,2,1,2,2,2,2,2,1,Male,45–64,AT,4,1.6666666666666667,1.8181651260675646,-0.09964472662908853
15363,AT,2,23,0.24188046,1,2,2,4,1,4,1,1,3,1,4,4,3,1,Female,18–29,AT,4,2,1.8181651260675646,0.4920326480564312
15367,AT,2,67,0.32584533,1,1,4,3,1,4,1,1,2,2,2,2,2,1,Female,65+,AT,3.5,1.6666666666666667,1.1303926248022642,-0.09964472662908853
15674,AT,1,53,1.1565279,2,3,2,2,1,2,1,2,2,2,2,2,2,1,Male,45–64,AT,2,1.8333333333333333,-0.9329248789936372,0.19619396071367112
15726,AT,2,34,0.78707856,1,1,1,4,1,4,1,4,1,1,2,1,2,1,Female,30–44,AT,4,1.4166666666666665,1.8181651260675646,-0.5434027576432289
15828,AT,2,33,0.91455054,2,2,1,4,1,3,1,2,1,3,3,1,2,2,Female,30–44,AT,3.5,1.75,1.1303926248022642,0.048274617042291294
15874,AT,1,62,0.41453734,1,1,1,3,1,3,1,1,1,1,2,1,1,1,Male,45–64,AT,3,1.0833333333333333,0.44262012353696373,-1.1350801323287485
15888,AT,1,38,0.37239876,1,3,2,3,1,2,1,1,3,2,2,1,2,1,Male,30–44,AT,2.5,1.6666666666666667,-0.2451523777283367,-0.09964472662908853
15954,AT,1,58,0.6400703,1,1,3,3,1,3,1,1,1,1,1,1,2,2,Male,45–64,AT,3,1.3333333333333333,0.44262012353696373,-0.6913221013146087
16033,AT,1,50,0.740345,1,2,1,3,1,3,2,1,1,1,2,1,2,1,Male,45–64,AT,3,1.3333333333333333,0.44262012353696373,-0.6913221013146087
16050,AT,1,47,2.4625297,2,2,2,3,1,3,1,2,1,1,2,1,2,1,Male,45–64,AT,3,1.5,0.44262012353696373,-0.3954834139718486
16158,AT,1,64,2.4905221,1,1,1,3,1,3,1,1,1,1,2,1,2,1,Male,45–64,AT,3,1.1666666666666667,0.44262012353696373,-0.9871607886573683
16264,AT,1,64,0.5541461,1,2,1,3,1,4,1,4,1,1,2,2,1,1,Male,45–64,AT,3.5,1.5,1.1303926248022642,-0.3954834139718486
16288,AT,2,52,0.28417277,1,1,2,3,1,3,1,2,2,1,1,1,2,2,Female,45–64,AT,3,1.4166666666666667,0.44262012353696373,-0.5434027576432284
16316,AT,2,20,2.4306493,3,2,4,3,2,3,2,2,2,3,3,2,3,2,Female,18–29,AT,3,2.5,0.44262012353696373,1.379548710084711
16327,AT,1,37,1.1027106,2,2,1,3,1,3,2,3,2,3,2,1,2,2,Male,30–44,AT,3,1.9166666666666667,0.44262012353696373,0.34411330438505133
16342,AT,1,24,0.41307327,2,3,1,3,1,4,2,1,1,2,3,1,1,2,Male,18–29,AT,3.5,1.6666666666666667,1.1303926248022642,-0.09964472662908853
16384,AT,1,58,0.7191954,2,2,2,2,1,2,2,1,2,2,2,2,2,1,Male,45–64,AT,2,1.75,-0.9329248789936372,0.048274617042291294
16511,AT,2,70,4.2214303,1,2,2,3,1,3,1,3,2,3,3,2,2,1,Female,65+,AT,3,1.9166666666666667,0.44262012353696373,0.34411330438505133
16585,AT,1,88,1.3681237,2,3,2,2,,1,2,1,2,2,3,2,2,2,Male,65+,AT,1.5,2.090909090909091,-1.6206973802589375,0.6533992047888455
16676,AT,2,61,0.5317112,2,2,1,2,1,3,2,3,3,2,3,2,2,2,Female,45–64,AT,2.5,2.0833333333333335,-0.2451523777283367,0.6399519917278114
16711,AT,2,33,0.44848266,2,2,2,3,1,3,1,1,3,3,3,2,2,3,Female,30–44,AT,3,2.0833333333333335,0.44262012353696373,0.6399519917278114
16830,AT,2,41,0.9105122,1,2,2,3,1,2,1,2,1,1,2,1,2,1,Female,30–44,AT,2.5,1.4166666666666667,-0.2451523777283367,-0.5434027576432284
16872,AT,,22,0.95627135,1,2,1,3,2,3,1,1,2,1,3,1,1,2,,18–29,AT,3,1.5,0.44262012353696373,-0.3954834139718486
17292,AT,1,49,0.9564475,2,1,2,4,1,4,1,1,1,1,2,1,2,1,Male,45–64,AT,4,1.3333333333333333,1.8181651260675646,-0.6913221013146087
17420,AT,2,39,0.78943294,1,2,2,3,1,2,1,1,2,2,,2,2,1,Female,30–44,AT,2.5,1.5454545454545454,-0.2451523777283367,-0.3148001356056414
17422,AT,1,78,0.8056697,2,2,2,2,1,3,1,2,1,1,1,1,2,1,Male,65+,AT,2.5,1.4166666666666667,-0.2451523777283367,-0.5434027576432284
17711,AT,2,34,0.6593187,3,3,3,1,2,2,3,3,3,3,3,1,4,2,Female,30–44,AT,1.5,2.75,-1.6206973802589375,1.8233067410988508
17809,AT,2,29,0.36518878,2,2,3,2,1,3,2,2,2,2,2,3,2,1,Female,18–29,AT,2.5,2,-0.2451523777283367,0.4920326480564312
17889,AT,2,32,1.0118964,1,2,2,2,1,3,1,1,1,1,1,1,2,1,Female,30–44,AT,2.5,1.25,-0.2451523777283367,-0.8392414449859885
17909,AT,2,43,0.24998978,2,2,4,2,1,2,1,1,2,2,4,3,3,1,Female,30–44,AT,2,2.1666666666666665,-0.9329248789936372,0.7878713353991909
18005,AT,1,46,0.44354826,2,3,1,2,1,3,1,1,1,1,1,1,1,1,Male,45–64,AT,2.5,1.25,-0.2451523777283367,-0.8392414449859885
18063,AT,2,67,0.49414003,1,1,3,2,2,3,1,2,1,1,3,1,2,1,Female,65+,AT,2.5,1.5833333333333333,-0.2451523777283367,-0.24756407030046876
18074,AT,2,34,0.5933751,3,2,3,3,2,3,2,2,3,2,3,3,2,1,Female,30–44,AT,3,2.3333333333333335,0.44262012353696373,1.0837100227419514
18083,AT,1,29,1.3124384,2,2,2,3,1,2,1,2,2,3,3,3,2,2,Male,18–29,AT,2.5,2.0833333333333335,-0.2451523777283367,0.6399519917278114
18095,AT,1,51,0.91357803,2,3,2,3,1,3,2,1,1,1,2,1,1,2,Male,45–64,AT,3,1.5833333333333333,0.44262012353696373,-0.24756407030046876
18178,AT,2,79,3.4856386,2,2,2,3,1,3,2,2,2,3,3,2,3,3,Female,65+,AT,3,2.25,0.44262012353696373,0.9357906790705711
18286,AT,2,60,0.490691,1,1,1,3,1,3,1,1,2,1,3,2,1,1,Female,45–64,AT,3,1.3333333333333333,0.44262012353696373,-0.6913221013146087
18447,AT,2,34,1.774596,2,3,4,3,2,3,1,3,3,3,2,3,2,1,Female,30–44,AT,3,2.4166666666666665,0.44262012353696373,1.2316293664133307
18502,AT,2,57,0.50752723,2,2,3,2,2,1,2,3,3,3,3,3,3,2,Female,45–64,AT,1.5,2.5833333333333335,-1.6206973802589375,1.5274680537560912
18503,AT,1,19,3.2129366,3,2,3,2,3,4,2,3,2,3,2,3,4,2,Male,18–29,AT,3,2.6666666666666665,0.44262012353696373,1.6753873974274707
18522,AT,2,28,1.1059799,1,2,1,3,1,4,2,2,2,2,2,1,2,2,Female,18–29,AT,3.5,1.6666666666666667,1.1303926248022642,-0.09964472662908853
18531,AT,1,55,0.8201279,1,1,1,4,1,4,1,1,1,1,1,1,1,1,Male,45–64,AT,4,1,1.8181651260675646,-1.2829994760001284
18579,AT,1,47,1.2339181,2,2,4,2,1,2,2,2,2,2,2,2,2,1,Male,45–64,AT,2,2,-0.9329248789936372,0.4920326480564312
18628,AT,2,60,0.55083656,1,1,1,3,1,3,1,1,1,1,2,2,1,1,Female,45–64,AT,3,1.1666666666666667,0.44262012353696373,-0.9871607886573683
18816,AT,1,46,0.59115314,2,2,2,3,2,2,2,2,2,1,2,2,2,1,Male,45–64,AT,2.5,1.8333333333333333,-0.2451523777283367,0.19619396071367112
18930,AT,1,66,0.27413598,1,2,1,4,1,4,1,1,1,1,1,1,2,1,Male,65+,AT,4,1.1666666666666667,1.8181651260675646,-0.9871607886573683
19075,AT,2,41,0.17656331,1,1,2,4,1,3,1,1,2,1,1,2,2,1,Female,30–44,AT,3.5,1.3333333333333333,1.1303926248022642,-0.6913221013146087
19092,AT,2,61,2.6843204,1,2,2,3,1,3,1,,1,1,2,1,2,1,Female,45–64,AT,3,1.3636363636363635,0.44262012353696373,-0.6375332490704705
19140,AT,2,31,1.0808984,3,2,4,2,1,2,3,2,3,2,3,2,2,1,Female,30–44,AT,2,2.3333333333333335,-0.9329248789936372,1.0837100227419514
19141,AT,1,34,1.0564822,2,2,1,2,2,1,2,2,3,3,4,2,1,1,Male,30–44,AT,1.5,2.0833333333333335,-1.6206973802589375,0.6399519917278114
19247,AT,1,72,0.27020016,1,2,2,3,2,3,2,2,2,2,2,1,2,2,Male,65+,AT,3,1.8333333333333333,0.44262012353696373,0.19619396071367112
19283,AT,2,23,2.45915,2,2,1,3,2,3,2,1,2,4,4,3,2,1,Female,18–29,AT,3,2.1666666666666665,0.44262012353696373,0.7878713353991909
19382,AT,1,73,1.0168676,2,3,2,2,1,2,2,2,3,2,3,1,2,2,Male,65+,AT,2,2.0833333333333335,-0.9329248789936372,0.6399519917278114
19411,AT,1,38,0.2821689,1,2,2,4,1,3,1,1,2,1,2,1,2,1,Male,30–44,AT,3.5,1.4166666666666667,1.1303926248022642,-0.5434027576432284
19553,AT,2,59,0.47458196,1,1,1,3,1,3,1,1,1,2,2,1,2,2,Female,45–64,AT,3,1.3333333333333333,0.44262012353696373,-0.6913221013146087
19565,AT,2,46,0.54953736,4,3,3,2,1,2,2,2,2,3,3,1,3,2,Female,45–64,AT,2,2.4166666666666665,-0.9329248789936372,1.2316293664133307
19612,AT,1,51,0.52772725,2,1,3,2,1,2,2,2,2,2,2,1,2,1,Male,45–64,AT,2,1.75,-0.9329248789936372,0.048274617042291294
19762,AT,2,40,1.3606325,2,3,3,2,1,2,2,1,3,2,3,2,3,2,Female,30–44,AT,2,2.25,-0.9329248789936372,0.9357906790705711
19796,AT,1,29,0.9290025,1,3,2,3,1,3,1,2,2,2,2,1,2,1,Male,18–29,AT,3,1.6666666666666667,0.44262012353696373,-0.09964472662908853
19829,AT,1,58,0.34933296,1,1,1,3,1,3,1,2,1,1,2,1,1,1,Male,45–64,AT,3,1.1666666666666667,0.44262012353696373,-0.9871607886573683
20049,AT,2,47,0.34159192,2,2,2,2,2,2,2,2,2,2,2,2,2,1,Female,45–64,AT,2,1.9166666666666667,-0.9329248789936372,0.34411330438505133
20081,AT,1,26,0.92006713,1,3,2,2,3,2,2,3,3,2,3,2,3,1,Male,18–29,AT,2,2.3333333333333335,-0.9329248789936372,1.0837100227419514
20135,AT,2,63,1.9247156,2,2,2,3,2,2,2,1,2,3,3,2,2,2,Female,45–64,AT,2.5,2.0833333333333335,-0.2451523777283367,0.6399519917278114
20177,AT,1,49,0.5576151,1,1,1,3,2,3,1,1,1,1,2,1,1,1,Male,45–64,AT,3,1.1666666666666667,0.44262012353696373,-0.9871607886573683
20399,AT,1,32,0.9548903,1,1,2,4,1,3,1,1,1,1,2,1,2,1,Male,30–44,AT,3.5,1.25,1.1303926248022642,-0.8392414449859885
20598,AT,2,38,0.7361366,2,3,1,2,1,2,2,2,2,2,3,1,2,2,Female,30–44,AT,2,1.9166666666666667,-0.9329248789936372,0.34411330438505133
20716,AT,1,34,1.2212859,2,3,3,3,1,4,2,1,2,1,2,1,2,1,Male,30–44,AT,3.5,1.75,1.1303926248022642,0.048274617042291294
20720,AT,2,43,0.7178705,2,2,2,2,2,2,2,1,1,2,2,2,2,1,Female,30–44,AT,2,1.75,-0.9329248789936372,0.048274617042291294
20810,AT,1,44,0.65369344,1,3,2,2,2,1,2,3,1,1,2,2,2,1,Male,30–44,AT,1.5,1.8333333333333333,-1.6206973802589375,0.19619396071367112
20848,AT,1,30,4.0375686,1,1,1,4,1,4,2,3,2,2,4,1,2,1,Male,30–44,AT,4,1.75,1.8181651260675646,0.048274617042291294
20888,AT,2,47,0.62771386,2,2,1,2,2,2,2,,2,1,2,1,2,1,Female,45–64,AT,2,1.6363636363636365,-0.9329248789936372,-0.15343357887322667
21106,AT,1,61,0.47178805,2,2,2,2,3,2,2,2,2,2,3,2,3,2,Male,45–64,AT,2,2.25,-0.9329248789936372,0.9357906790705711
21220,AT,1,65,2.2045362,2,2,3,3,2,2,2,2,1,2,2,1,1,1,Male,65+,AT,2.5,1.75,-0.2451523777283367,0.048274617042291294
21237,AT,1,45,0.55136114,1,4,1,4,1,1,4,1,4,1,4,4,1,4,Male,45–64,AT,2.5,2.5,-0.2451523777283367,1.379548710084711
21253,AT,1,63,0.39629483,1,1,1,3,1,3,2,2,2,2,2,1,2,2,Male,45–64,AT,3,1.5833333333333333,0.44262012353696373,-0.24756407030046876
21306,AT,1,52,0.87484425,1,2,2,3,1,3,1,1,1,2,3,2,2,1,Male,45–64,AT,3,1.5833333333333333,0.44262012353696373,-0.24756407030046876
21411,AT,1,61,0.77256787,1,1,2,3,1,3,1,1,2,1,2,2,2,1,Male,45–64,AT,3,1.4166666666666667,0.44262012353696373,-0.5434027576432284
21445,AT,2,30,0.9971587,2,3,1,2,1,2,2,,3,3,3,2,2,2,Female,30–44,AT,2,2.1818181818181817,-0.9329248789936372,0.8147657615212599
21601,AT,2,89,1.3028791,1,2,2,2,1,3,1,2,1,2,2,2,2,1,Female,65+,AT,2.5,1.5833333333333333,-0.2451523777283367,-0.24756407030046876
21642,AT,1,19,1.1239903,2,2,1,2,2,2,2,1,1,1,3,2,2,1,Male,18–29,AT,2,1.6666666666666667,-0.9329248789936372,-0.09964472662908853
21715,AT,1,72,0.76965076,1,2,1,4,1,4,1,1,1,1,1,1,1,1,Male,65+,AT,4,1.0833333333333333,1.8181651260675646,-1.1350801323287485
21745,AT,1,18,4.4115024,2,3,1,2,3,2,2,4,3,2,4,1,2,2,Male,18–29,AT,2,2.4166666666666665,-0.9329248789936372,1.2316293664133307
21809,AT,2,49,0.6765832,2,2,2,3,1,3,1,1,1,2,2,1,2,1,Female,45–64,AT,3,1.5,0.44262012353696373,-0.3954834139718486
