idno,cntry,gndr,agea,c2weight,w4q47,w4q48,w4q49,w4q50,w4q51,w4q52,w4q53,w4q54,w4q55,w4q56,w4q57,w4q58,w4q59,w4q60,gndr_lab,age_band,cntry_iso2,positive_affect_mean,distress_mean,positive_affect_z,distress_z
75865,GB,1,37,0.9710371,2,3,3,3,1,3,2,2,2,2,3,1,3,1,Male,30–44,GB,3,2.0833333333333335,0.44262012353696373,0.6399519917278114
75946,GB,2,60,0.5522132,1,1,2,4,1,4,2,1,2,2,3,1,2,1,Female,45–64,GB,4,1.5833333333333333,1.8181651260675646,-0.24756407030046876
76035,GB,2,39,0.7705915,1,1,1,3,1,4,1,1,1,1,1,1,1,2,Female,30–44,GB,3.5,1.0833333333333333,1.1303926248022642,-1.1350801323287485
76110,GB,2,52,0.3712853,1,2,2,3,1,4,1,1,2,1,2,1,2,1,Female,45–64,GB,3.5,1.4166666666666667,1.1303926248022642,-0.5434027576432284
76214,GB,2,32,1.0155632,2,4,3,2,3,2,3,3,4,3,3,3,3,2,Female,30–44,GB,2,3,-0.9329248789936372,2.267064772112991
76412,GB,2,75,0.2820086,1,2,2,2,2,3,2,2,1,1,1,1,1,1,Female,65+,GB,2.5,1.4166666666666667,-0.2451523777283367,-0.5434027576432284
76483,GB,2,68,0.37396455,1,1,1,4,1,4,1,1,1,4,1,1,1,1,Female,65+,GB,4,1.25,1.8181651260675646,-0.8392414449859885
76505,GB,2,65,0.8286167,1,2,2,4,1,4,1,2,1,1,2,1,1,1,Female,65+,GB,4,1.3333333333333333,1.8181651260675646,-0.6913221013146087
76732,GB,2,35,0.30183187,2,2,3,3,2,4,2,2,1,2,2,1,2,1,Female,30–44,GB,3.5,1.8333333333333333,1.1303926248022642,0.19619396071367112
76794,GB,2,51,0.49572283,4,4,4,1,2,1,3,4,4,4,4,3,3,2,Female,45–64,GB,1,3.4166666666666665,-2.308469881524238,3.0066614904698903
76949,GB,1,64,0.43628967,2,3,2,2,1,1,1,1,1,2,2,1,2,2,Male,45–64,GB,1.5,1.6666666666666667,-1.6206973802589375,-0.09964472662908853
77012,GB,2,72,0.29246503,1,1,2,4,1,3,1,2,1,1,2,1,1,1,Female,65+,GB,3.5,1.25,1.1303926248022642,-0.8392414449859885
77099,GB,1,69,0.7873052,2,2,2,2,2,2,2,1,1,2,2,2,2,1,Male,65+,GB,2,1.75,-0.9329248789936372,0.048274617042291294
77166,GB,2,33,0.54308796,3,4,2,2,2,2,2,2,3,3,3,,,,Female,30–44,GB,2,2.6666666666666665,-0.9329248789936372,1.6753873974274707
77169,GB,1,48,0.9364914,2,1,3,2,2,2,2,2,2,1,1,1,2,2,Male,45–64,GB,2,1.75,-0.9329248789936372,0.048274617042291294
77435,GB,1,48,0.7734605,4,4,3,1,4,1,4,4,4,4,4,4,4,3,Male,45–64,GB,1,3.8333333333333335,-2.308469881524238,3.74625820882679
77533,GB,2,66,0.8954836,1,1,3,2,1,2,1,1,1,1,2,1,1,1,Female,65+,GB,2,1.25,-0.9329248789936372,-0.8392414449859885
77800,GB,2,45,1.3576579,2,1,3,,2,3,2,2,2,2,2,2,3,1,Female,45–64,GB,3,2,0.44262012353696373,0.4920326480564312
78122,GB,2,81,0.5456907,1,1,2,4,1,4,1,1,1,2,1,1,1,1,Female,65+,GB,4,1.1666666666666667,1.8181651260675646,-0.9871607886573683
78269,GB,2,62,0.50473315,2,2,1,3,4,3,2,1,2,2,3,2,2,1,Female,45–64,GB,3,2,0.44262012353696373,0.4920326480564312
78323,GB,1,44,0.91231275,2,2,4,2,1,2,2,2,2,3,2,2,3,1,Male,30–44,GB,2,2.1666666666666665,-0.9329248789936372,0.7878713353991909
78371,GB,2,38,0.7345017,2,2,2,3,2,3,2,2,2,,1,2,2,1,Female,30–44,GB,3,1.8181818181818181,0.44262012353696373,0.16929953459160207
78443,GB,2,46,1.9645259,2,2,1,3,1,3,2,2,1,1,2,1,1,2,Female,45–64,GB,3,1.5,0.44262012353696373,-0.3954834139718486
78561,GB,2,67,1.3145053,,,,,,,,,,,,,,,Female,65+,GB,,,,
